time_period,time_format,granularity,geocode,pact_t,pact_m,pact_f,pact_t_16a24,pact_t_25a34,pact_t_35a44,pact_t_45a54,pact_t_55mas,pact_m_16a24,pact_m_25a34,pact_m_35a44,pact_m_45a54,pact_m_55mas,pact_f_16a24,pact_f_25a34,pact_f_35a44,pact_f_45a54,pact_f_55mas,pocu_t,pocu_m,pocu_f,pocu_t_16a24,pocu_t_25a34,pocu_t_35a44,pocu_t_45a54,pocu_t_55mas,pocu_m_16a24,pocu_m_25a34,pocu_m_35a44,pocu_m_45a54,pocu_m_55mas,pocu_f_16a24,pocu_f_25a34,pocu_f_35a44,pocu_f_45a54,pocu_f_55mas,pocu_a401,pocu_a402,pocu_a403,pocu_a404,psal_t,psal_m,psal_f,psal_t_16a24,psal_t_25a34,psal_t_35a44,psal_t_45a54,psal_t_55mas,psal_m_16a24,psal_m_25a34,psal_m_35a44,psal_m_45a54,psal_m_55mas,psal_f_16a24,psal_f_25a34,psal_f_35a44,psal_f_45a54,psal_f_55mas,psal_pri_t,psal_pri_m,psal_pri_f,psal_pub_t,psal_pub_m,psal_pub_f,psel_t,psel_m,psel_f,ppar_t,ppar_m,ppar_f,ppar_t_16a24,ppar_t_25a34,ppar_t_35a44,ppar_t_45a54,ppar_t_55mas,ppar_ld_t,ppar_ld_m,ppar_ld_f,tpar_t,tpar_m,tpar_f,tsal_t,tsal_m,tsal_f,label
2024,P1Y,MUNICIPALITIES,35001,2710,1404,1306,156,445,559,879,672,74,229,279,465,358,83,217,280,414,313,2178,1159,1019,102,369,478,719,510,46,194,247,393,280,56,176,232,326,230,102,100,188,1774,1864,961,902,94,340,407,620,403,44,176,204,330,208,50,164,203,290,196,1326,762,564,538,199,339,314,198,117,533,246,287,55,76,81,160,162,217,94,123,19.65,17.48,21.98,85.57,82.96,88.54,Agaete
2024,P1Y,MUNICIPALITIES,35002,17547,8974,8573,1227,3172,4228,5276,3644,658,1619,2023,2707,1968,569,1554,2205,2569,1676,15006,7894,7112,1011,2825,3801,4613,2756,536,1467,1872,2449,1570,475,1359,1929,2164,1187,328,878,989,12751,13282,6799,6483,978,2622,3370,4037,2275,513,1332,1623,2064,1267,465,1290,1747,1973,1008,11089,5976,5114,2189,821,1368,1724,1095,629,2541,1081,1461,217,347,427,662,888,1227,474,753,14.48,12.04,17.04,88.51,86.13,91.15,Agüimes
2024,P1Y,MUNICIPALITIES,35003,5853,3116,2737,372,1016,1469,1744,1252,204,518,742,933,720,168,499,727,811,532,5285,2876,2409,329,938,1375,1587,1056,182,490,704,865,635,147,448,671,722,421,104,181,338,4649,4298,2270,2028,315,836,1137,1257,754,174,433,576,659,429,141,402,561,598,326,3667,2006,1662,630,264,366,987,606,381,567,240,328,43,78,94,157,196,221,83,138,9.69,7.69,11.98,81.32,78.92,84.18,Antigua
2024,P1Y,MUNICIPALITIES,35004,35956,18414,17543,3098,7486,8566,9389,7418,1674,3764,4300,4805,3872,1424,3722,4267,4584,3547,32241,16840,15401,2852,6888,7874,8524,6103,1555,3516,4015,4435,3319,1297,3372,3859,4089,2784,204,1111,2363,28484,29139,14948,14191,2766,6492,7060,7546,5276,1504,3289,3553,3826,2777,1262,3203,3507,3720,2499,26079,13821,12258,3035,1114,1921,3102,1892,1209,3716,1573,2142,246,598,692,865,1315,1487,543,944,10.33,8.54,12.21,90.38,88.76,92.15,Arrecife
2024,P1Y,MUNICIPALITIES,35005,513,323,190,26,90,114,118,165,18,54,67,70,113,8,35,47,49,52,452,293,160,20,81,103,101,147,15,49,62,64,103,5,32,41,38,44,14,24,31,383,393,245,148,19,76,92,91,115,15,45,54,55,76,5,31,38,36,39,235,161,74,158,84,74,59,47,12,61,30,31,6,9,11,17,18,18,7,10,11.85,9.3,16.16,87,83.85,92.79,Artenara
2024,P1Y,MUNICIPALITIES,35006,20208,10192,10016,1212,3591,4521,6067,4817,628,1821,2153,3060,2531,584,1771,2368,3008,2286,16808,8746,8062,897,3110,3974,5168,3659,465,1610,1956,2717,1998,432,1500,2018,2450,1662,280,1041,1080,14356,14863,7453,7410,866,2893,3487,4524,3094,444,1468,1664,2286,1591,422,1425,1823,2237,1503,11397,6255,5142,3464,1197,2267,1945,1293,652,3400,1445,1955,316,481,546,900,1158,1664,675,989,16.83,14.18,19.52,88.43,85.22,91.91,Arucas
2024,P1Y,MUNICIPALITIES,35007,379,216,163,29,91,96,92,71,18,48,58,49,43,11,43,39,42,28,346,204,142,26,82,90,87,62,16,46,55,49,38,10,37,35,38,24,20,21,27,279,297,170,127,25,74,81,72,45,16,41,51,38,24,9,33,30,34,22,228,142,86,69,28,41,50,34,16,33,13,20,4,9,6,5,9,8,4,4,8.65,5.78,12.46,85.69,83.44,88.93,Betancuria
2024,P1Y,MUNICIPALITIES,35008,3969,2079,1890,268,715,857,1174,956,155,366,429,591,538,113,349,428,583,418,3271,1779,1492,200,615,756,1003,697,118,324,391,531,415,82,291,366,472,282,52,297,240,2667,2808,1485,1323,191,559,650,840,568,111,296,325,428,326,80,264,325,412,243,2191,1270,921,616,214,402,463,294,169,699,301,398,68,100,101,171,259,344,143,201,17.6,14.46,21.05,85.84,83.47,88.67,Firgas
2024,P1Y,MUNICIPALITIES,35009,12303,6220,6084,863,2396,2730,3474,2842,461,1183,1369,1739,1468,402,1213,1360,1735,1374,10185,5300,4885,639,2015,2375,2964,2191,353,1023,1224,1543,1158,286,992,1152,1422,1034,773,759,731,7879,9006,4531,4475,604,1853,2102,2601,1847,334,926,1065,1292,916,271,927,1037,1310,931,6348,3627,2721,2652,901,1752,1179,769,410,2119,920,1199,224,381,354,509,650,993,407,587,17.22,14.78,19.71,88.43,85.5,91.61,Gáldar
2024,P1Y,MUNICIPALITIES,35010,2708,1434,1274,134,515,600,766,693,69,283,309,390,383,65,232,291,376,310,2388,1284,1104,117,473,544,674,580,59,260,285,351,329,59,213,258,323,251,49,104,124,2108,1952,1000,952,108,421,455,550,418,51,226,227,271,226,57,195,229,279,192,1384,741,643,566,258,308,436,284,152,320,150,170,17,42,57,92,113,129,54,74,11.82,10.46,13.35,81.73,77.88,86.21,Haría
2024,P1Y,MUNICIPALITIES,35011,17270,8899,8371,1350,3282,4205,4993,3441,721,1652,2073,2630,1823,629,1630,2132,2364,1617,14613,7833,6780,1065,2911,3787,4280,2570,567,1510,1919,2370,1467,498,1401,1868,1911,1103,295,921,979,12358,13106,6866,6240,1029,2701,3388,3799,2190,539,1369,1689,2053,1217,490,1332,1699,1746,973,11254,6127,5127,1848,737,1111,1507,967,540,2658,1067,1591,285,371,419,713,871,1236,461,775,15.39,11.98,19.01,89.69,87.66,92.04,Ingenio
2024,P1Y,MUNICIPALITIES,35012,10213,5471,4742,866,1979,2333,2760,2277,455,1096,1192,1467,1262,411,883,1141,1293,1015,9160,5006,4154,778,1831,2159,2481,1912,406,1035,1121,1342,1104,372,796,1038,1140,808,170,198,453,8326,7394,3918,3476,733,1591,1753,1965,1353,373,887,886,1035,737,360,704,867,929,616,6815,3662,3154,578,256,322,1766,1089,678,1054,465,589,88,148,174,278,365,395,157,238,10.32,8.5,12.41,80.72,78.26,83.69,Mogán
2024,P1Y,MUNICIPALITIES,35013,3890,2049,1840,252,666,843,1162,967,138,344,418,610,540,114,322,425,553,427,3104,1728,1376,181,582,713,945,684,101,310,373,522,423,81,272,340,423,261,155,218,281,2434,2552,1348,1204,173,519,593,760,507,95,270,298,399,287,78,250,296,361,220,1966,1129,837,586,219,367,552,380,172,785,321,464,71,85,130,217,283,418,151,268,20.19,15.68,25.21,82.22,78.01,87.5,Moya
2024,P1Y,MUNICIPALITIES,35014,13659,7115,6544,942,2595,3676,3935,2511,490,1299,1864,2085,1377,452,1296,1812,1850,1134,12350,6505,5845,864,2400,3367,3575,2144,450,1206,1722,1912,1215,414,1195,1645,1663,929,104,325,824,11083,9359,4737,4623,828,2035,2499,2589,1409,427,1027,1249,1297,738,401,1008,1250,1293,671,8417,4368,4049,940,368,572,2991,1768,1223,1309,610,699,78,195,309,360,367,412,164,249,9.58,8.57,10.67,75.78,72.82,79.08,La Oliva
2024,P1Y,MUNICIPALITIES,35015,11220,5932,5288,1048,2236,2665,3005,2268,553,1163,1365,1606,1246,495,1073,1300,1399,1022,10463,5609,4855,999,2099,2499,2835,2031,528,1107,1306,1528,1141,471,992,1194,1307,891,135,169,267,9877,9340,4928,4412,976,1951,2231,2493,1690,511,1023,1158,1308,929,465,928,1073,1185,761,8779,4678,4100,557,247,310,1123,681,443,757,324,434,49,137,166,170,237,215,80,135,6.75,5.45,8.2,89.26,87.87,90.88,Pájara
2024,P1Y,MUNICIPALITIES,35016,184037,91116,92921,11801,33550,41998,51612,45076,6186,16784,20087,25457,22603,5615,16766,21912,26156,22473,151741,77303,74438,9130,29375,36494,43448,33295,4819,14946,17949,22087,17502,4311,14428,18545,21361,15793,990,7201,8472,134517,131597,64786,66810,8736,26946,31775,37052,27088,4555,13540,15174,18079,13440,4181,13406,16602,18974,13649,105660,55062,50599,25903,9708,16195,20144,12516,7628,32296,13814,18483,2671,4176,5505,8164,11781,16353,6611,9742,17.55,15.16,19.89,86.72,83.81,89.75,Las Palmas de Gran Canaria
